weibo_url,created_at,content,like_num,repost_num,comment_num
https://weibo.com/1768876554/EuAgotd4D,2017-02-08 14:51:23,我发起了一个投票 【你最讨厌盗文网站里出现哪句话？（欢迎补充！】你最讨厌盗文网站里出现哪句话？（欢迎补充！昨天围观灯阿姨被盗文有感……（当然我被盗的也很多，活在文包里被人盘盘相传的我 ,4,0,0
https://weibo.com/1768876554/EuAfSiGOf,2017-02-08 14:50:06,【国家卫计委：代孕违法违规 将继续严厉打击】近日，针对“全面两孩”放开后高龄夫妇孕育困难的问题，有专家建议有条件地放开代孕，引发社会热议。国家卫生计生委宣传司司长毛群安今日表示，国家卫计委已关注到代孕的问题，但代孕是违法违规的行为，下一步将继续严厉打击。http://t.cn/RJUefBi[话筒] ,9,11,1
https://weibo.com/1768876554/GrhDx9fLD,2018-07-23 19:23,说句无关的话，如果这回疫苗的事情曝光发酵到这种程度了，“有关部门”需要出来回应了，结果却是一而再再而三地提醒患者注意安全防范，尽量避免接种疫苗，你听完了心里能是什么感觉？这种感受就是一两个月之前滴滴案中很多女性看到舆论导向之后的真实感受。 ,4,11,0
https://weibo.com/1768876554/GrhCEs8mA,2018-07-23 19:21,程序员们花14小时寻找疫苗流向 ,4,11,0
https://weibo.com/1768876554/GrhARo1x6,2018-07-23 19:17,雷闯，中国第一个争取到食品行业健康证的乙肝病毒携带者，推动乙肝携带者权益进步的重要公益人物。23号早，有女性志愿者曝光在曾经的公益活动中遭雷闯性侵，并且是惯犯，除举报人以外还有更多受害者。雷闯很快回应，承认侵害事实，辞去公益机构职务，表示愿承担责任。目前媒体正尝试接触采访有关方面。 ,2,11,0
https://weibo.com/1768876554/E7fjleb6R,2016-09-08 03:13:58,重庆的大家坐地铁记得抬头瞧一瞧fufufu~~~ ,1,0,0
https://weibo.com/1768876554/GrdFH67tw,2018-07-23 09:18,分享图片 ,2,21,1
https://weibo.com/1768876554/E7di29cDp,2016-09-07 22:05:15,每个人生命中都有买过装逼的书比如我买了小王子和挪威的森林你呢？ ,1,3,0
https://weibo.com/1768876554/GrdCOj10O,2018-07-23 09:11,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：http://t.cn/RfdBWwP ,11,10,0
https://weibo.com/1768876554/E7cwAaY1G,2016-09-07 20:08:21,#Elsanna##ABO##妹攻#《名字也还没想好-7（ABO）》 【ABO注意，妹攻注意】终于发到7了，争取10章内把姐姐的发情期写完。这样美味可口的Elsa看完没有给我留点评论的冲动吗？ 名字也还没想好-7（ABO） ,106,8,69
https://weibo.com/1768876554/Gra5Vw4c3,2018-07-23 00:11,湄拉：“不知道你还记不记得我，神奇女侠。我是湄拉。”神奇女侠：“要忘记一个海里的阿芙罗狄忒很难。”妈耶 这也太撩了[跪了][跪了][跪了][跪了] ,6,7,0
https://weibo.com/1768876554/E7auUmg5z,2016-09-07 14:58:44,为什么古代的妓女往往需要学会琴棋书画？ ,3,9,0
https://weibo.com/1768876554/BaeW3nXQo,2014-06-22 23:34:37,目之所及 心之所向 嘴上再怎么让她走开 心里却还是为她悄悄打开了门 而只要一见到她 嘴角那一抹温柔便只为她绽放[lxhx泪目] 原帖 http://t.cn/RvjVOyM ,0,10,1
https://weibo.com/1768876554/E7ajUkGBe,2016-09-07 14:31:38,抱歉，此微博已被作者删除。查看帮助：http://t.cn/Rfd3rQV,1,29,0
https://weibo.com/1768876554/BaeVsceug,2014-06-22 23:33:08,抱歉，此微博已被作者删除。查看帮助：http://t.cn/Rfd3rQV,0,12,7
https://weibo.com/1768876554/Baet7tcib,2014-06-22 22:23:20,"东京地铁表面上已经够复杂了, 再看立体的话都无法想象他居然是这样的.[威武] ",1,0,0
https://weibo.com/1768876554/E7a7WmxE0,2016-09-07 14:02:08,该微博因被多人投诉，根据《微博社区公约》，已被删除。查看帮助：http://t.cn/zjmuxz1,6,2,0
https://weibo.com/1768876554/BvOyT0ZkB,2014-11-11 20:52:48,《我可以养你吗？ Chapter.10》 “兄弟们！姐妹们！”一道洪亮的声音打断了他们客套的寒暄，大家都朝着祭坛的方向看过去。那头龙火红火红的，该说它十分漂亮，一对角弯曲如绵羊，眼睛像是两颗黄玉髓，鳞片闪着...（阅读全文: http://t.cn/R7dzlIr 下载LOFTER客户端: http://t.cn/RPSYdQu） ,0,1,0
https://weibo.com/1768876554/BvO9shcAP,2014-11-11 19:50:08,男士们来说下：公开场合众目睽睽，你哥们儿给你媳妇儿披毯子，你生气不？女士们来说下：公开场合众目睽睽，你姐们儿给你老公披毯子，你生气不？#无聊挑事儿玩# [doge] ,1,0,0
https://weibo.com/1768876554/BaerbeIXg,2014-06-22 22:18:33,有时候觉得同样一篇文，作者走的是员工通道，虽然四通八达权限高但是连装修都只是刮个大白铺个防滑砖。读者看的是前台，倍儿温馨舒适……对员工通道好一点……工作顺畅一点…… ,0,0,0
https://weibo.com/1768876554/E75ryBsKb,2016-09-07 02:06:44,哈哈哈哈哈哈哈这个表情[笑cry] ,2,11,0
https://weibo.com/1768876554/E74jKg9xR,2016-09-06 23:14:45,我估计了一下，可能最多到第十章就要开始走剧情了。我还是没办法写篇纯肉文，真是sad……后面没有这么多肉的话还有人看吗？ ,28,0,41
https://weibo.com/1768876554/BvF3ihKVj,2014-11-10 20:40:15,#午间一萌#你虽然腿短但是也不能放弃走路啊。。。It's so adorable！！！又被戳中了膝盖！[羞嗒嗒]  ,1,1,0
https://weibo.com/1768876554/BaekAfMOW,2014-06-22 22:02:18,"挪威一个野生动物园Polar Zoo, 一个女饲养员休产假2个月，回来之后，她平时照顾的狼都飞奔过来又抱又舔，和汪星人一样。。 ",0,8,0
https://weibo.com/1768876554/BvES1rcMv,2014-11-10 20:12:29,该微博因被多人投诉，根据《微博社区公约》，已被删除。查看帮助：http://t.cn/zjmuxz1,1,2,0
https://weibo.com/1768876554/BvDK5nmXn,2014-11-10 17:20:11,双十一来发糖啦咯！百合大法好！上次av1626589的甜蜜重置版，补上上次遗漏的番，近30部番吧#姬骑##黑琴##奈菲##兔晴##千姬##北欧##elsanna##lovelive##轻音#，窝尽力了，做得比较赶，还请见谅！不过放闪神马的才是真理^0^ @amgioyao 【二次元百合cp群像】最重要的人就在身边！ 【二次元百合cp群像】最重要的人就在身边！  ,1,7,2
https://weibo.com/1768876554/Baeiy55Hg,2014-06-22 21:57:17,抱歉，此微博已被作者删除。查看帮助：http://t.cn/Rfd3rQV,2,0,2
https://weibo.com/1768876554/Baei2a4Ww,2014-06-22 21:56:01,也有一种幸福，是能被喜欢的人当宠物养。希望被他大大的手掌摸摸头，说好乖啊最喜欢你了。希望犯错时在他身边蜷一团，看他生气又无奈，骂几句＂怎么这么蠢＂然后抱抱。希望每天肚子饿的时候，他会魔术般地变出好吃的，一本正经要你先坐好。希望在所有的宠物里，他一眼看住你，说＂走吧回家，我养你。＂ ,0,3,0
https://weibo.com/1768876554/BvCcYhgeu,2014-11-10 13:25:51,嘛··刚在群里看到这个奇葩····敢情咱们画个图跟复印机一样，按个扭就出一张~ 尼玛现在去图片社打印个照片还一张15呢！敢让我知道你哪家的“编辑”，我保证不打死你！ ,2,0,2
https://weibo.com/1768876554/Baehsp3yK,2014-06-22 21:54:36,#沉睡魔咒#you are my sunshine ,2,11,0
https://weibo.com/1768876554/BvC9RlXzz,2014-11-10 13:18:11,【分享自 @肖根视频仓库L馆 的@网易LOFTER】 【弃疗向】《用周杰伦的方式打开POI》 ... （阅读全文：http://t.cn/R71Nnr3 下载LOFTER：http://t.cn/RPU0pi2） 下载LOFTER客户端：http://t.cn/RP4QLtu   ,1,0,0
https://weibo.com/1768876554/BvwgED6fd,2014-11-09 22:18:27,重庆信息技术职业学院 俗话说：家和万事兴，好女人，改变三代人的命运，教出好儿孙，坏女人，害三代人，家道或是一败涂地，女子是世界的源头，源头净的，水才会清。由此看来一个社会的兴衰，女德关系重大。信息学院首届“女德班”开班了， ,0,3,0
https://weibo.com/1768876554/Bae3R4abA,2014-06-22 21:21:05,日经新闻：日本雅虎购物网站将从6月起支持支付宝 ，以使中国消费者更方便购买 ,0,12,0
https://weibo.com/1768876554/Bvwav8XFn,2014-11-09 22:03:17,抱歉，此微博已被作者删除。查看帮助：http://t.cn/Rfd3rQV,0,5,6
https://weibo.com/1768876554/BadZdz2MA,2014-06-22 21:09:40,抱歉，此微博已被作者删除。查看帮助：http://t.cn/Rfd3rQV,1,11,0
https://weibo.com/1768876554/zlUcVaPOV,2013-03-04 19:23:32,#剑三##圈圈眼# 雨季到了，小少年们雨衣走起~先试着搞了少爷和策策，有时间补全>_O+ ,0,0,0
https://weibo.com/1768876554/zlUbktJAb,2013-03-04 19:19:35,该微博因被多人投诉，根据《微博社区公约》，已被删除。查看帮助：http://t.cn/zjmuxz1,0,0,0
https://weibo.com/1768876554/zlU9HoStV,2013-03-04 19:15:36,#微博寻人#【婴儿丢失近10小时了】长春载2个月大男婴的灰色丰田车被盗已近10小时。吉林高速管理局已排查方圆200公里收费站，一无所获，多家物业正排查地下车库。丢失车车牌为吉AMM102，男婴用红色小花被包裹，左肩有胎记。婴儿太小，需母乳喂养，现在肯定饿了吧。大家紧急扩散，快点找回孩子！[话筒] ,0,0,0
https://weibo.com/1768876554/zlU8tavgt,2013-03-04 19:12:33,寒假我哥去一家德国企业实习，认识了一个同来实习的德国骚年，于是把这个骚年来我家玩的时候发生的一些事撸成黑塔梗。完全是闲着没事干随便撸的，字丑画挫……算了自我娱乐么…… ,0,0,0
https://weibo.com/1768876554/zlNHzmQRb,2013-03-04 02:49:49,我想起有一次跟叔叔闹脾气，说她根本什么都没有考虑过，然后她可无奈的说，我不是一直在存钱吗？那是为了，在以后的任何时候，只要你说一声，我就能跟你私奔啊。——私奔真是个好浪漫的词——刚刚看了仙水的更新，徐小姐要和心爱私奔呢！ ,0,0,1
https://weibo.com/1768876554/zlNHiezZe,2013-03-04 02:49:08,我想起有一次跟叔叔闹脾气，说她根本什么都没有考虑过，然后她可无奈的说，我不是一直在存钱吗？那是为了，在以后的任何时候，只要你说一声，我就能跟你私奔啊。——私奔真是个好浪漫的词——刚刚看了仙水的更新，徐小姐要和心爱私奔呢！ ,3,1,4
https://weibo.com/1768876554/zlMHVueVW,2013-03-04 00:17:57,我在#网易视频#观看了《屏住呼吸看完全程 羽毛拿掉的瞬间雷鸣般掌声》，http://t.cn/zYCDOp5，很不错，分享给大家。 ,0,0,0
https://weibo.com/1768876554/zlMBZAMOy,2013-03-04 00:03:17,如果一个姑娘给你发短信说“我感冒了”，假如“多喝点水”是最坏的回答，那么最好的回答是什么？#毒德大学# ,0,1,0
https://weibo.com/1768876554/H4SGMg2lp,2018-11-29 10:10,:【公交坠江仅过30天，重庆又有乘客抢方向盘！被乘客按倒制服，现已被刑拘[话筒]】11月27日，重庆綦万高速，一男子在高速路上抢夺行驶中客车的方向盘，并将客车转弯灯开关撞弯，随即被四名男性乘客按倒在地。所幸事发过程中无人员伤亡。警方称男子已被刑事拘留。此事距10月28日重庆公交车坠江仅30天。微辣Video的秒拍视频,3,3,0
https://weibo.com/1768876554/zlMAjj8u2,2013-03-03 23:59:10,【TV689】原来毛利大叔也这么浪漫 ,0,4,7
https://weibo.com/1768876554/zlMcZ9t3N,2013-03-03 23:01:40,#东方不败X赵敏#笑红尘 http://t.cn/zYpxkbw 灵感来自上次微博主页看到的一张配对图 以及最近被新版笑傲刷屏刷多了 于是顺手拉一发#电影版# 此货纯属娱乐 切勿较真 以及我觉得她们俩可以互攻吧 顺便吐槽下 电影版赵敏的镜头是太少了QAQ 临时起意 懒得加字幕了【其实是懒 泥垢】 ,0,0,0
https://weibo.com/1768876554/H4UWSwRpa,2018-11-29 15:55,:8012年，基因可以编辑，但女孩却不能穿超短裙在德黑兰当代艺术博物馆的地下室里，藏着数量惊人的现代艺术大师杰作。而这间博物馆的命运，也折射出整个国家的命运。2018年，有人在颁奖典礼上用政治裹挟艺术；有人认为女性生来应该相夫教子，被家暴一定有自己的原因；而另外一些人，渴求用艺术发出自己的声音，艺术对她们来说，是唯一的发声渠道，是希望，是语言，是生命,4,9,0
